,question,ground_truth
0,What is the reviewer's opinion on the movie John Wick (2014)?,"The reviewer's opinion is that John Wick (2014) is the best revenge flick from Keanu Reeves in 2014, a fun and straightforward action movie with an 80's sensibility. The reviewer also believes that the film is one of their personal favorite Keanu Reeves movies and considers it the greatest action film to come out in this century."
1,What is the main criticism of the John Wick movie mentioned in the review?,"The main criticism of the John Wick movie in the review is that it is repetitive, lacks plot, character development, and drama, and is focused solely on mindless action with excessive violence."
2,"What was noticeably missing from the list of genres applicable to 'John Wick, Chapter 3: Parabellum' according to the review?","The film-makers forgot to add 'fantasy' to the list of genres applicable to 'John Wick, Chapter 3: Parabellum' according to the review."
3,What new standard has the John Wick franchise set according to the reviewer?,"The franchise has set new standards in the action movie genre, with the movie being even more intense and engaging than previous installments."
4,What are some common cliches found in the movie John Wick according to the review?,"The review mentions cliched elements in the movie such as a retired hit-man coming out of retirement, a boy and his dog, the perfect wife who is conveniently dead, stolen cars, Russian mobsters, a spoiled son, and lots of blood."
5,"Who does The Table, an international criminal brotherhood, empower to deal with John Wick in the movie?",The Table empowers The Marquis to deal with John Wick (and the Manager of the New York Continentale Hotel) in the movie.
6,What is the general tone of the review towards Keanu Reeves' performance in John Wick 4?,"The review describes Keanu Reeves as wearily dragging himself from setpiece to setpiece, surviving ridiculous setups, and achieving nothing."
7,Who directed the film John Wick?,John Wick was directed by Reeve's stuntman from The Matrix.
8,Who is the main character in John Wick?,"The main character in John Wick is John Wick, played by Keanu Reeves. He is seeking revenge on the people who took something he loved from him."
9,What made the first John Wick film stand out from typical action movies?,"The first John Wick film stood out from typical action movies because the hero was not a muscle bound hulk like Schwarzenegger or Stallone, the action was super fast paced, the plot was basic and straightforward but introduced unique elements, and there was something unique and stylish about the film."
10,Who directed the 2014 surprise hit John Wick?,Stuntman turned writer/director Chad Stahelski directed the 2014 surprise hit John Wick.
11,What is the reviewer's opinion of the last John Wick movie?,"The reviewer indicated that the last John Wick movie, along with the current one, is considered to be only dumb and lacking the entertaining aspect of dumb nonsense found in the first two movies of the franchise."
12,What is the IMDb rating of all three John Wick movies?,All three of the first John Wick movies have an IMDb rating of 7.4/10.
13,What is the reviewer's opinion of the movie John Wick?,The reviewer considers John Wick to be an absolute disaster of an action movie.
14,What is the main criticism of the portrayal of the High Table and its members in John Wick movies?,"The main criticism is that the franchise has become a parody due to the unrealistic portrayal of the High Table, with a very high number of its members shown to be everywhere but unable to kill one single man, even after multiple attempts."
